Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867407,4.7775,,4294867407,0.9151,,4294867407,1.6598,,,5.220740903,,,2.878358838,,,0.551331486,
4294867408,7.779,,4294867408,1.5543,,4294867408,2.7707,,,5.004825323,,,2.807593749,,,0.56097737,
4294867409,3.8704,,4294867409,0.828,,4294867409,1.3212,,,4.674396135,,,2.929458068,,,0.626702997,
4294867410,3.1655,,4294867410,0.5708,,4294867410,1.1275,,,5.545725298,,,2.807538803,,,0.506252772,
4294867411,5.7423,,4294867411,1.0781,,4294867411,1.7912,,,5.326314813,,,3.205839661,,,0.601887003,
4294867412,8.6958,,4294867412,2.3695,,4294867412,4.8111,,,3.669888162,,,1.807445283,,,0.492506911,
4294867413,2.1429,,4294867413,1.0665,,4294867413,1.4455,,,2.0092827,,,1.482462816,,,0.737806987,
4294867414,1.8869,,4294867414,1.2059,,4294867414,1.4519,,,1.564723443,,,1.299607411,,,0.830566843,
4294867415,2.9233,,4294867415,1.0875,,4294867415,3.1687,,,2.688091954,,,0.922554991,,,0.343200682,
4294867416,4.3385,,4294867416,0.7761,,4294867416,1.6199,,,5.590130138,,,2.678251744,,,0.479103648,
4294867417,4.0959,,4294867417,1.4002,,4294867417,2.6796,,,2.925224968,,,1.528549037,,,0.522540678,
4294867418,3.1673,,4294867418,1.1961,,4294867418,2.2318,,,2.648022741,,,1.419168384,,,0.53593512,
4294867419,5.5359,,4294867419,0.631,,4294867419,1.0403,,,8.773217116,,,5.321445737,,,0.606555801,
4294867420,5.7822,,4294867420,0.5848,,4294867420,1.0553,,,9.8874829,,,5.479200227,,,0.554155217,
4294867421,6.7798,,4294867421,1.4452,,4294867421,2.5367,,,4.691253806,,,2.672684984,,,0.569716561,
4294867422,3.3604,,4294867422,0.8382,,4294867422,1.0243,,,4.009067048,,,3.280679488,,,0.818314947,
4294867423,6.0195,,4294867423,0.8966,,4294867423,2.8804,,,6.713696186,,,2.089813915,,,0.311276212,
4294867424,1.7339,,4294867424,0.5504,,4294867424,1.1289,,,3.15025436,,,1.535919922,,,0.487554256,
4294867425,6.4751,,4294867425,1.4163,,4294867425,2.6009,,,4.571842124,,,2.489561306,,,0.544542274,
4294867426,3.1341,,4294867426,0.8875,,4294867426,2.0269,,,3.531380282,,,1.546252899,,,0.437860773,
4294867427,3.2402,,4294867427,0.9094,,4294867427,1.2386,,,3.563008577,,,2.616018085,,,0.73421605,
4294867428,0.7603,,4294867428,0.4332,,4294867428,0.7172,,,1.755078486,,,1.060094813,,,0.604015616,
4294867429,2.1937,,4294867429,1.6363,,4294867429,1.8298,,,1.340646581,,,1.198874194,,,0.894250738,
4294867430,5.3343,,4294867430,0.9397,,4294867430,1.7812,,,5.676598915,,,2.994778801,,,0.527565686,
4294867431,5.0812,,4294867431,0.8892,,4294867431,1.6832,,,5.714349978,,,3.018773764,,,0.528279468,
